公司統一編號,公司名稱,分公司統一編號,分公司名稱,Address,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,Longitude,Latitude
16740494,全聯實業股份有限公司,27744314,埔里北門分公司,南投縣埔里鎮自強路８０號１樓,1,940704,1120707,120.9722,23.967045
16740494,全聯實業股份有限公司,53649293,埔里信義分公司,南投縣埔里鎮信義路217號,1,1010419,1070327,120.9725644,23.9731091
16740494,全聯實業股份有限公司,53675003,埔里中正分公司,南投縣埔里鎮中正路593、597號,1,1020723,1040303,120.9725644,23.9731091
16740494,全聯實業股份有限公司,70757020,南投埔里分公司,南投縣埔里鎮中山路3段376號1樓,1,881204,1060531,120.9630913,23.97257205
16740494,全聯實業股份有限公司,80518180,南投南興分公司,南投縣埔里鎮南興街249號1樓,1,920912,1060526,120.954837,23.96964201
22555003,統一超商股份有限公司,16099345,南投縣第１６分公司,南投縣埔里鎮中正路３７６、３８０號１樓,3,861122,881124,120.9645961,23.9633218
22555003,統一超商股份有限公司,16431238,南投縣第十七分公司,南投縣埔里鎮大湳里中山路1段423號1樓,1,861201,1110624,120.968146,23.96465499
22555003,統一超商股份有限公司,16442164,南投縣第２０分公司,南投縣埔里鎮信義路９６１號１樓,3,870402,870402,120.980684,23.974538
22555003,統一超商股份有限公司,16449309,南投縣第２１分公司,南投縣埔里鎮中山路二段一九六號一樓、北環路九十九號一樓,3,870608,881129,120.9590826,23.97160279
22555003,統一超商股份有限公司,16740261,南投縣第２４分公司,南投縣埔里鎮中山路三段二一五號一樓,3,870831,881129,120.969927,23.96775399
22555003,統一超商股份有限公司,24801311,南投縣第一００分公司,南投縣埔里鎮中山路4段97-1號、97-2號1樓,1,1041111,1110613,120.960926,23.96770499
22555003,統一超商股份有限公司,24815390,南投縣第一０八分公司,南投縣埔里鎮安七街89-1號1樓,1,1071206,1110613,120.932995,23.96657
22555003,統一超商股份有限公司,24815743,南投縣第一０九分公司,南投縣埔里鎮中山路4段106號1樓,3,1071213,1110613,120.95381,23.966772
22555003,統一超商股份有限公司,27234065,南投縣第五十八分公司,南投縣埔里鎮北安里十七鄰中山路二段一一七號一樓,3,930325,       ,120.9732074,23.96933921
22555003,統一超商股份有限公司,27237957,南投縣第六十分公司,南投縣埔里鎮鐵山路一之八號一樓,3,930617,       ,120.941496,23.97505102
22555003,統一超商股份有限公司,27239131,南投縣第六十一分公司,南投縣埔里鎮中山路三段一六八、一七０號一樓,1,930713,1090528,120.9619788,23.96757266
22555003,統一超商股份有限公司,27247630,南投縣第六十四分公司,南投縣埔里鎮中華路116號1樓,1,931214,1110624,120.974291,23.96589299
22555003,統一超商股份有限公司,27935799,南投縣第七十二分公司,南投縣埔里鎮枇杷里中正路183-23號,1,950308,1090601,120.974039,23.95645602
22555003,統一超商股份有限公司,27945591,南投縣第七十五分公司,南投縣埔里鎮南村里中山路4段63號1樓,3,950914,       ,120.9377378,23.96502408
22555003,統一超商股份有限公司,28984895,南投縣第八十八分公司,南投縣埔里鎮榮光路1-11號1樓,1,981014,       ,120.996413,23.97583401
22555003,統一超商股份有限公司,51347906,南投縣第一０四分公司,南投縣埔里鎮中山路1段427號1樓,3,1060424,       ,120.980271,23.97413898
22555003,統一超商股份有限公司,53016348,南投縣第十二分公司,南投縣埔里鎮蜈蚣里中山路1段149號1樓,3,1000816,       ,121.0128337,23.98123582
22555003,統一超商股份有限公司,53022502,南投縣第三十五分公司,南投縣埔里鎮南興街172號1樓,1,1001220,1110624,120.966143,23.96223798
22555003,統一超商股份有限公司,53650489,南投縣第二０一分公司,南投縣埔里鎮鐵山路36號1樓,1,1010516,1110712,120.945388,23.97302939
22555003,統一超商股份有限公司,53650919,南投縣第二０二分公司,南投縣埔里鎮仁愛路450-2號1樓,1,1010524,1110712,120.967419,23.97133809
22555003,統一超商股份有限公司,54387557,南投縣第九十七分公司,南投縣埔里鎮樹人路221-2號1樓,1,1030807,       ,120.973174,23.95999201
22555003,統一超商股份有限公司,54399097,南投縣第九十八分公司,南投縣埔里鎮中山路2段108號、中華路184-2號1樓,1,1040312,1110613,120.9732245,23.96962118
22555003,統一超商股份有限公司,54916418,南投縣第一一六分公司,南投縣埔里鎮西安路1段409-1號1樓,1,1081005,1110613,120.9696594,23.97529259
22555003,統一超商股份有限公司,70750011,南投縣第三十二分公司,南投縣埔里鎮忠孝路138、140號1樓,1,880916,1110613,120.9702071,23.96260994
22555003,統一超商股份有限公司,70763402,南投縣第三十七分公司,南投縣埔里鎮西安路1段104號1樓,1,890203,1110624,120.9671105,23.96650429
22555003,統一超商股份有限公司,70764417,南投縣第三十九分公司,南投縣埔里鎮中正路二一０之一號一樓,3,890216,       ,120.972685,23.95956
22555003,統一超商股份有限公司,70799416,南投縣第十五分公司,南投縣埔里鎮安西路1段306號,3,900109,990401,120.969235,23.966619
